company,year,category,value
Rio Tinto,2017,Contract Worker Fatalities,Not Reported
Rio Tinto,2017,Other Fatalities,Not Reported
Rio Tinto,2018,Total Worker Fatalities,3
Rio Tinto,2018,Employee Fatalities,Not Reported
Rio Tinto,2018,Contract Worker Fatalities,Not Reported
Rio Tinto,2018,Other Fatalities,Not Reported
RUSAL,2017,Total Worker Fatalities,13
RUSAL,2017,Employee Fatalities,7
RUSAL,2017,Contract Worker Fatalities,6
RUSAL,2017,Other Fatalities,0
RUSAL,2018,Total Worker Fatalities,8
RUSAL,2018,Employee Fatalities,4
RUSAL,2018,Contract Worker Fatalities,4
RUSAL,2018,Other Fatalities,1
Sibanye-Stillwater,2017,Total Worker Fatalities,11
Sibanye-Stillwater,2017,Employee Fatalities,11
Sibanye-Stillwater,2017,Contract Worker Fatalities,0
Sibanye-Stillwater,2017,Other Fatalities,Not Reported
Sibanye-Stillwater,2018,Total Worker Fatalities,24
Sibanye-Stillwater,2018,Employee Fatalities,Not Reported
Sibanye-Stillwater,2018,Contract Worker Fatalities,Not Reported
Sibanye-Stillwater,2018,Other Fatalities,Not Reported
Teck,2017,Total Worker Fatalities,0
Teck,2017,Employee Fatalities,0
Teck,2017,Contract Worker Fatalities,0
Teck,2017,Other Fatalities,0
Teck,2018,Total Worker Fatalities,2
Teck,2018,Employee Fatalities,1
Teck,2018,Contract Worker Fatalities,1
Teck,2018,Other Fatalities,0
Vale,2017,Total Worker Fatalities,5
Vale,2017,Employee Fatalities,1
Vale,2017,Contract Worker Fatalities,4
Vale,2017,Other Fatalities,Not Reported
Vale,2018,Total Worker Fatalities,2
Vale,2018,Employee Fatalities,1
Vale,2018,Contract Worker Fatalities,1
Vale,2018,Other Fatalities,Not Reported
Vedanta Resources,2017,Total Worker Fatalities,8
Vedanta Resources,2017,Employee Fatalities,Not Reported
Vedanta Resources,2017,Contract Worker Fatalities,Not Reported
Vedanta Resources,2017,Other Fatalities,Not Reported
Vedanta Resources,2018,Total Worker Fatalities,14
Vedanta Resources,2018,Employee Fatalities,2
Vedanta Resources,2018,Contract Worker Fatalities,12
Vedanta Resources,2018,Other Fatalities,Not Reported
Zijin,2017,Total Worker Fatalities,Not Reported
Zijin,2017,Employee Fatalities,0
Zijin,2017,Contract Worker Fatalities,Not Reported
Zijin,2017,Other Fatalities,Not Reported
Zijin,2018,Total Worker Fatalities,Not Reported
Zijin,2018,Employee Fatalities,Not Reported
Zijin,2018,Contract Worker Fatalities,Not Reported
Zijin,2018,Other Fatalities,Not Reported
