name,country,company,percent_shares
[Rio Tinto PLC - UK] Chiron Investment Management LLC,USA,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Putnam Investments Limited,UK,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Liechtensteinische Landesbank AG,Liechtenstein,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Abu Dhabi Investment Authority,UAE,Rio Tinto,0.03%
"[Rio Tinto PLC - UK] Arrowstreet Capital, Limited Partnership",USA,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Nottinghamshire County Council Pension Fund,UK,Rio Tinto,0.03%
[Rio Tinto PLC - UK] AXA Rosenberg Investment Management LLC,USA,Rio Tinto,0.03%
[Rio Tinto PLC - UK] GAM Investment Management (Switzerland) AG,Switzerland,Rio Tinto,0.03%
[Rio Tinto PLC - UK] BCEE Asset Management,Luxembourg,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Smith & Williamson Investment Management LLP,UK,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Virginia Retirement System,USA,Rio Tinto,0.03%
[Rio Tinto PLC - UK] CCLA Investment Management Ltd.,UK,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Causeway Capital Management LLC,USA,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Aberdeen Asset Managers Ltd.,UK,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Corporation of Lloyds,UK,Rio Tinto,0.03%
"[Rio Tinto PLC - UK] BlackRock Investment Management, LLC",USA,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Miton Asset Management Limited,UK,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Zurich Life Assurance plc,Ireland,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Rathbone Unit Trust Management Limited,UK,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Voya Investment Management LLC,USA,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Oregon Public Employees Retirement System,USA,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Vanguard Investments Australia Ltd.,Australia,Rio Tinto,0.03%
[Rio Tinto PLC - UK] DWS Investments Hong Kong Limited,Hong Kong,Rio Tinto,0.03%
[Rio Tinto PLC - UK] QMA LLC,USA,Rio Tinto,0.03%
[Rio Tinto PLC - UK] Universal-Investment-Gesellschaft mbH,Germany,Rio Tinto,0.03%
"[Rio Tinto PLC - UK] Cadence Capital Management, LLC",USA,Rio Tinto,0.03%
[Rio Tinto PLC - UK] ID-Sparinvest A/S,Denmark,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Helaba Invest Kapitalanlagegesellschaft mbH,Germany,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Waverton Investment Management Ltd.,UK,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Employees Retirement System of Texas,USA,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Santander Asset Management,Spain,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Standard Life Investments (USA) Ltd._NLE,USA,Rio Tinto,0.02%
"[Rio Tinto PLC - UK] American Century Investment Management, Inc.",USA,Rio Tinto,0.02%
"[Rio Tinto PLC - UK] BlackRock Japan Co., Ltd.",Japan,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Ivy Investment Management Company,USA,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Elo Mutual Pension Insurance Company,Finland,Rio Tinto,0.02%
[Rio Tinto PLC - UK] JPMorgan (Suisse) S.A.,Switzerland,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Allianz Global Investors U.S. LLC,USA,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Stichting-Telegraaf Pensioenfonds 1959,Netherlands,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Chom Capital GmbH,Germany,Rio Tinto,0.02%
[Rio Tinto PLC - UK] NNIP Asset Management B.V.,Netherlands,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Mizuho Trust & Banking (Luxembourg) S.A.,Luxembourg,Rio Tinto,0.02%
[Rio Tinto PLC - UK] 1832 Asset Management L.P.,Canada,Rio Tinto,0.02%
[Rio Tinto PLC - UK] ARCA Fondi SGR S.p.A,Italy,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Shell Asset Management Company B.V.,Netherlands,Rio Tinto,0.02%
[Rio Tinto PLC - UK] The Retirement Systems of Alabama,USA,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Kumpulan Wang Persaraan (Diperbadankan),Malaysia,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Basler Kantonalbank,Switzerland,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Danske Capital,Denmark,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Ohio Public Employees Retirement System,USA,Rio Tinto,0.02%
"[Rio Tinto PLC - UK] Lazard Asset Management, L.L.C.",USA,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Principal Global Investors (Equity),USA,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Central Finance Board of the Methodist Church,UK,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Amundi Asset Management,France,Rio Tinto,0.02%
[Rio Tinto PLC - UK] SEB Investment Management AB,Sweden,Rio Tinto,0.02%
"[Rio Tinto PLC - UK] Bridgewater Associates, LP",USA,Rio Tinto,0.02%
[Rio Tinto PLC - UK] BMO Global Asset Management,UK,Rio Tinto,0.02%
[Rio Tinto PLC - UK] HANSAINVEST Hanseatische Investment GmbH,Germany,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Alder Investment Management Ltd.,UK,Rio Tinto,0.02%
[Rio Tinto PLC - UK] F. van Lanschot Bankiers (België) N.V.,Belgium,Rio Tinto,0.02%
[Rio Tinto PLC - UK] BMO Asset Management U.S.,USA,Rio Tinto,0.02%
[Rio Tinto PLC - UK] CFM Indosuez Wealth SA,Monaco,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Epsilon SGR SpA,Italy,Rio Tinto,0.02%
[Rio Tinto PLC - UK] AG2R La Mondiale Gestion d'Actifs SA,France,Rio Tinto,0.02%
[Rio Tinto PLC - UK] LBBW Asset Management Investmentgesellschaft mbH,Germany,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Eurizon Capital S.A.,Luxembourg,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Union Bancaire Privée,Switzerland,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Cornelian Asset Managers Limited,UK,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Mirabaud & Cie Banquiers Privés,Switzerland,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Oddo BHF Asset Management GmbH,Germany,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Firetrail Investments Pty Limited,Australia,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Alken Asset Management Ltd,UK,Rio Tinto,0.02%
[Rio Tinto PLC - UK] STANLIB Asset Management Ltd.,South Africa,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Handelsbanken Asset Management,Sweden,Rio Tinto,0.02%
[Rio Tinto PLC - UK] La Banque Postale Asset Management,France,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Swedbank Robur Fonder AB,Sweden,Rio Tinto,0.02%
"[Rio Tinto PLC - UK] Sumitomo Mitsui DS Asset Management Company, Limited",Japan,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Northern Trust Luxembourg Management Company S.A.,Luxembourg,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Baring Asset Management Ltd.,UK,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Columbia Threadneedle Investments (US),USA,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Banque Degroof Petercam Luxembourg S.A.,Luxembourg,Rio Tinto,0.02%
[Rio Tinto PLC - UK] New York State Teachers' Retirement System,USA,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Computershare Ltd,Australia,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Macquarie Investment Management,USA,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Mirae Asset Global Investments (USA) LLC,USA,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Achmea Investment Management B.V.,Netherlands,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Ardevora Asset Management LLP,UK,Rio Tinto,0.02%
[Rio Tinto PLC - UK] KBC Asset Management N.V.,Belgium,Rio Tinto,0.02%
[Rio Tinto PLC - UK] BI Asset Management Fondsmæglerselskab A/S,Denmark,Rio Tinto,0.02%
"[Rio Tinto PLC - UK] State Street Trust & Banking Co., Ltd.",Japan,Rio Tinto,0.02%
"[Rio Tinto PLC - UK] Amundi Pioneer Asset Management, Inc.",USA,Rio Tinto,0.02%
[Rio Tinto PLC - UK] AllianceBernstein L.P.,USA,Rio Tinto,0.02%
[Rio Tinto PLC - UK] State Street Global Advisors Asia Ltd.,Hong Kong,Rio Tinto,0.02%
[Rio Tinto PLC - UK] SYZ & CO Asset Management LLP,UK,Rio Tinto,0.02%
"[Rio Tinto PLC - UK] Invesco Advisers, Inc.",USA,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Brewin Dolphin Limited,UK,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Hosking Partners LLP,UK,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Fideuram Asset Management (Ireland) dac,Ireland,Rio Tinto,0.02%
[Rio Tinto PLC - UK] INVESCO Asset Management Limited,UK,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Lansdowne Partners (UK) LLP,UK,Rio Tinto,0.02%
[Rio Tinto PLC - UK] JPMorgan Asset Management (Hong Kong) Ltd.,Hong Kong,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Barratt & Cooke Limited,UK,Rio Tinto,0.02%
[Rio Tinto PLC - UK] Goldman Sachs Asset Management (US),USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] State Street Global Advisors Ltd. (Canada),Canada,Rio Tinto,0.01%
[Rio Tinto PLC - UK] First Trust Advisors L.P.,USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] MEAG Munich ERGO Kapitalanlagegesellschaft mbH,Germany,Rio Tinto,0.01%
[Rio Tinto PLC - UK] PIMCO (US),USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Assenagon Asset Management S.A.,Germany,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Vestcor Investment Management Corporation,Canada,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Mediolanum Asset Management Limited,Ireland,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Insingergilissen Asset Management N.V.,Netherlands,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Aberdeen Standard Investments Australia Limited,Australia,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Aberdeen Standard Investments Inc.,USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Xact Kapitalforvaltning AB,Sweden,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Raiffeisen Kapitalanlage-Gesellschaft mbH,Austria,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Degroof Petercam Asset Management,Belgium,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Boston Partners,USA,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] IM Asset Management, Ltd.",UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] DJE Kapital AG,Germany,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Canaccord Genuity Wealth Management,UK,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] Asset Management One Co., Ltd.",Japan,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] Hirtle, Callaghan & Co., LLC",USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Quoniam Asset Management GmbH,Germany,Rio Tinto,0.01%
[Rio Tinto PLC - UK] a.s.r. vermogensbeheer,Netherlands,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Eaton Vance Management,USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Russell Investments Limited,UK,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] Ibercaja Gestión S.G.I.I.C., S.A.",Spain,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Deka Vermögensmanagement GmbH,Germany,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Slater Investments Ltd.,UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Odey Asset Management LLP,UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Quilter Investors Limited,UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Allianz Global Investors France,France,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Aberdeen Asset Management (Edinburgh),UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Mackenzie Financial Corporation,Canada,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Deutsche Asset Management (UK) Limited,UK,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",Japan,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Invesco Capital Management LLC,USA,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] Brookfield Asset Management, Inc.",Canada,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Brookfield Public Securities Group LLC,USA,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] SunAmerica Asset Management, LLC",USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Federated Investment Management Company,USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] ThinkCapital Asset Management B.V.,Netherlands,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] TIFF Advisory Services, Inc.",USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Conning Asia Pacific Limited,Hong Kong,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] QS Investors, LLC",USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] UOB Asset Management Ltd.,Singapore,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Callan LLC,USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] CA Indosuez (Switzerland) S.A.,Switzerland,Rio Tinto,0.01%
[Rio Tinto PLC - UK] CIBC Asset Management Inc.,Canada,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Lyxor Funds Solutions S.A.,Luxembourg,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Premier Asset Management Ltd,UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Groupama Asset Management,France,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Saracen Fund Managers Limited,UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] UBS Asset Management (Canada) Inc.,Canada,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] Metagestion, S.G.I.I.C., S.A.U.",Spain,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] Creutz & Partners, Global Asset Management S.A.",Luxembourg,Rio Tinto,0.01%
[Rio Tinto PLC - UK] EdenTree Investment Management Limited,UK,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] Caixabank Asset Management SGIIC, S.A.U.",Spain,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Victory Capital Management Inc.,USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Church House Investments Limited,UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] LGT Capital Partners Ltd.,Switzerland,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] Nomura Asset Management Co., Ltd.",Japan,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Wise Investments Ltd.,UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Swiss Life Asset Management,Switzerland,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Fideuram Investimenti SGR S.p.A.,Italy,Rio Tinto,0.01%
[Rio Tinto PLC - UK] ABN AMRO Investment Solutions (AAIS),France,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Origin Asset Management LLP,UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Revera Asset Management Ltd.,UK,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] Thrivent Asset Management, LLC",USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] CPR Asset Management,France,Rio Tinto,0.01%
[Rio Tinto PLC - UK] BOCI-Prudential Asset Management Ltd.,Hong Kong,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Jacques (Jean-Sebastien),UK,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] O'Shaughnessy Asset Management, LLC",USA,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] Sumitomo Mitsui Trust Asset Management Co., Ltd.",Japan,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] Hanwha Asset Management Co., Ltd.",South Korea,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Allianz Global Investors Asia Pacific Limited,Hong Kong,Rio Tinto,0.01%
[Rio Tinto PLC - UK] IAM Independent Asset Management S.A.,Switzerland,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Vontobel Asset Management AG,Switzerland,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] Mapfre Inversión Dos, S.G.I.I.C., S.A.",Spain,Rio Tinto,0.01%
[Rio Tinto PLC - UK] DZ Privatbank (Schweiz) AG,Switzerland,Rio Tinto,0.01%
[Rio Tinto PLC - UK] MacKay Shields LLC,USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Cavendish Asset Management Ltd.,UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Helvetia Versicherungen,Switzerland,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Kredietrust Luxembourg S.A.,Luxembourg,Rio Tinto,0.01%
[Rio Tinto PLC - UK] AMG Fondsverwaltung AG,Switzerland,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Gesprofit S.A. S.G.I.I.C.,Spain,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] Daiwa Asset Management Co., Ltd.",Japan,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Barclays Wealth,UK,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] BNP Paribas Asset Management USA, Inc.",USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Julius Baer Portfolio Managers Limited,UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] AFH Wealth Management,UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] LLB Asset Management AG,Liechtenstein,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Schoellerbank Invest AG,Austria,Rio Tinto,0.01%
[Rio Tinto PLC - UK] IndexIQ Advisors LLC,USA,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Rathbone Investment Management Ltd.,UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Lynch (Christopher),UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Charles Stanley & Co. Limited,UK,Rio Tinto,0.01%
[Rio Tinto PLC - UK] Covéa Finance S.A.S.,France,Rio Tinto,0.01%
"[Rio Tinto PLC - UK] Sabadell Asset Management, S.A., S.G.I.I.C., Sociedad Unipersonal",Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] LUKB Expert Fondsleitung AG,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Amundi Austria GmbH,Austria,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Etoile Gestion S.A.,France,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] UBS Asset Management (Americas), Inc.",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Fidelity Investments Canada ULC,Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Morgan Stanley Investment Management Inc. (US),USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Principal Management Corporation,USA,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] B. Madrid Gestión de Activos S.G.I.I.C., S.A._NLE",Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] State Street Global Advisors (France) S.A.,France,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] JPMorgan Asset Management (Taiwan) Limited,Taiwan,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Darwin Inversiones S.A.,Argentina,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Sanlam Investment Management (Pty) Ltd.,South Africa,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] BlackRock Financial Management, Inc.",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] PineBridge Investments LLC,USA,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Renta 4 Gestora, S.G.I.I.C., S.A.",Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] MFS International (U.K.) Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Azimut Capital Management Sgr SpA,Italy,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Van Eck Associates Corporation,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] AGF International Advisors Company Ltd.,Ireland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] ERSTE-SPARINVEST Kapitalanlagegesellschaft mbH,Austria,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Signal Iduna Asset Management GmbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Quilter Cheviot Investment Management,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] BNP Paribas Investment Partners España SA SGIIC,Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Alkimis SGR SpA,Italy,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Seligson & Co Rahastoyhtiö Oyj,Finland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] DB Platinum Advisors,Luxembourg,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] GuideStone Capital Management, LLC",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Amundi Ireland Limited,Ireland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Tcam Asset Management Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] M. M. Warburg & CO KGaA,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Prudential Financial Securities Invt.Trust Enterprise Ltd.,Taiwan,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Spängler IQAM Invest Asset Management GmbH,Austria,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Capital International K.K.,Japan,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Consistent Unit Trust Management Company Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Die Sparkasse Bremen AG,Germany,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Notz, Stucki & Cie S.A.",Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Newton Investment Management Ltd.,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Denning Pryce Pty Ltd.,Australia,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Pramerica SGR S.p.A.,Italy,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] AXA Investment Managers Paris,France,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Credit Suisse (Deutschland) AG,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Osmosis Investment Management LLP,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] GAP Vermögensverwaltung GmbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] T. Rowe Price International (UK) Ltd.,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] AGF Investments Inc.,Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] SVM Asset Management Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Sanlam Investments UK Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Aargauische Kantonalbank,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] True Potential Investments LLP,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Vanneck Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] EEA Fund Management Ltd,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Oddo BHF Asset Management S.A.S,France,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Banque Pictet & Cie S.A.,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Warburg Invest Kapitalanlagegesellschaft mbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] SOPRARNO SGR S.p.A.,Italy,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] William Blair & Company, L.L.C. (Research)",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Siemens Fonds Invest GmbH,Germany,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Tokio Marine Asset Management Co., Ltd.",Japan,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Bellatrix Asset Management,Luxembourg,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Mapfre Asset Management, SGIIC, S.A.",Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] BNP Paribas Asset Management Belgium S.A.,Belgium,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Artisan Partners Limited Partnership,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] LSV Asset Management,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] NCB Capital Company SJSC,Saudi Arabia,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Marlborough Fund Managers Ltd.,UK,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Brown, Shipley & Company Limited",UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Nippon Life Global Investors Singapore Limited,Singapore,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Amundi Asset Management Singapore Ltd.,Singapore,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Société Générale Bank & Trust (Luxembourg),Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] DNB Asset Management AB,Sweden,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Crèdit Andorrà Asset Management,Andorra,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Banque Cantonale Vaudoise,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Gudme Raaschou Fondsmæglerselskab A/S,Denmark,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Anima SGR S.p.A.,Italy,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] SEI Investments Management Corporation,USA,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Franklin Templeton Portfolio Advisors, Inc",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Migros Bank Asset Management,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] UBS Switzerland AG,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Bergos Berenberg AG,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Daiwa Asset Management (Singapore) Ltd.,Singapore,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Calamos Advisors LLC,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Du Plessis (Jan Petrus),UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] KBL European Private Bankers S.A.,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] SG Kleinwort Hambros Bank Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Amundi Deutschland GmbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] HSBC Global Asset Management (Bermuda) Limited,Bermuda,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Margetts Fund Management Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] SailingStone Capital Partners LLC,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] NNIP Advisors B.V.,Netherlands,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Neuberger Berman Breton Hill ULC,Canada,Rio Tinto,<0.01%
