Company,Mine Site,Aliases,Company's share (%),Country,Mining type,Products,Status as of 29.11.2019,Year of closure (if applicable),Opening Year,Acquisition Year,Latitude,Longitude,Selected for the mine-site level evaluation,Total Worker Fatalities (2017),Employee Fatalites (2017),Contract Worker Fatalities (2017),Other Fatalities (2017),Total Worker Fatalities (2018),Employee Fatalities (2018),Contract Worker Fatalities (2018),Other Fatalities (2018)
China Shenhua,Rujigou,,100,China,Underground,Coal,Operational,,1964,,38.94703,106.247642,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
China Shenhua,Shangwan,,100,China,Underground,Coal,Operational,,1987,,39.289,110.183,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
China Shenhua,Shengli,,100,China,Open-pit,Coal,Operational,,1979,,44.001291,116.004157,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
China Shenhua,Shigetai,,100,China,Underground,Coal,Operational,,2005,,39.2667,110.2167,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
China Shenhua,Shitanjing No 2,,100,China,Underground,Coal,Operational,,1961,,39.191788,106.235204,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
China Shenhua,Shizuishan No 2,,100,China,Underground,Coal,Operational,,1960,,38.963557,106.353293,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
China Shenhua,Suhaitu,,100,China,Underground,Coal,Operational,,1960,,38.374,104.1284,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
China Shenhua,Wanli No1,,100,China,Underground,Coal,Operational,,1995,,39.915,110.1,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
China Shenhua,Wuhushan,,100,China,Underground,Coal,Operational,,1970,,39.50037,106.672235,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
China Shenhua,Wujiata,,100,China,Open-pit,Coal,Operational,,1996,,39.308655,110.085217,,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected,Not Collected
