Company name,Name of Tailing Storage Facility,Country,Status,Construction method,Impact-based hazard category,Guideline followed for hazard classification system,Latitude (Decimal degrees),Longitude (Decimal degrees)
Glencore,"CEZinc Processing Plant, UNA, (North-West)",Canada,Active,Downstream,High,Canadian Dam Association (CDA),45.23527778,-74.10416667
Glencore,"CEZinc Processing Plant,UNA, South",Canada,Active,Upstream,High,Canadian Dam Association (CDA),45.23361111,-74.10472222
Glencore,"CEZinc Processing Plant, Jarofix, (North Dyke)",Canada,Active,Drystack,Low,Canadian Dam Association (CDA),45.23111111,-74.07583333
Glencore,"Asturiana De Zinc Smelter, Tailings Management Facility, (Balsa I)",Spain,Closed,Downstream,Low,Spanish Ministry of Public Works,43.58138889,-5.939444444
Glencore,"Asturiana De Zinc Smelter, Tailings Management Facility, (Balsa II)",Spain,Closed,Downstream,Low,Spanish Ministry of Public Works,43.58,-5.942777778
Glencore,"Asturiana De Zinc Smelter, Tailings Management Facility, (Balsa III)",Spain,Active,Downstream,High,Spanish Ministry of Public Works,43.58361111,-5.938055556
Glencore,"Zhairem Mine, (Slurry settler, Lead Gravity concentrator)",Kazakhstan,Active,Downstream,IV (4),SNIP RK 3.04-01-2008,48.29333333,70.21638889
Glencore,"Zhairem Mine, Zhairem, (Flotation)",Kazakhstan,Inactive,Centreline,IV (4),SNIP RK 3.04-01-2008,48.22166667,70.25916667
Glencore,"Zhairem Mine, Zhairem, (Slurry settler, manganese gravity concentrator)",Kazakhstan,Active,Downstream,IV (4),SNIP RK 3.04-01-2008,48.3775,70.31388889
Glencore,"Altyntau-Kokshetau Complex, (Flotation)",Kazakhstan,Active,Upstream,III (4),SNIP RK 3.04-01-2008,53.41083333,69.19277778
Glencore,"Zyryanovsky Concentrator, (West)",Kazakhstan,Active,Upstream,II (4),SNIP RK 3.04-01-2008,49.7825,84.32138889
Glencore,"Ridder Mine, Chashinsky (West)",Kazakhstan,Inactive,Upstream,III (4),SNIP RK 3.04-01-2008,50.36277778,83.59694444
Glencore,"Ridder Mine, Talovsky, (South)",Kazakhstan,Active,Upstream,I (4),SNIP RK 3.04-01-2008,50.39611111,83.58861111
Glencore,"George Fisher Mine, GFM TSF, (Main Dam)",Australia,Inactive,Downstream,Significant,ANCOLD,-20.55916667,139.4647222
Glencore,"McArthur River Mine, Tailings Storage Facility, (Perimeter Embankment)",Australia,Active,Upstream,High C,ANCOLD,-16.41611111,136.0625
Glencore,"Kidd Metallurgical Site, TMA Pond A, (West Dam)",Canada,Active,Centreline,High,Canadian Dam Association (CDA),48.55805556,-81.10694444
Glencore,"Kidd Metallurgical Site, TMA Pond C, West Dam",Canada,Active,Centreline,High,Canadian Dam Association (CDA),48.56888889,-81.11722222
Glencore,"Kidd Metallurgical Site, TMA Pond C, South Dam",Canada,Active,Centreline,High,Canadian Dam Association (CDA),48.56472222,-81.11111111
Glencore,"Kidd Metallurgical Site, TMA Corky's Pond, Dyke",Canada,Active,Centreline,Low,Canadian Dam Association (CDA),48.57055556,-81.06944444
Glencore,"Kidd Metallurgical Site, Tailings Management Area (TMA), Perimeter Dyke",Canada,Active,Centreline,High,Canadian Dam Association (CDA),48.59305556,-81.09666667
Glencore,"Kidd Metallurgical Site, TMA Pond D, West Dam",Canada,Active,Centreline,High,Canadian Dam Association (CDA),48.5575,-81.11527778
Glencore,"Kidd Metallurgical Site, TMA Pond E, North Dam",Canada,Active,Centreline,Significant,Canadian Dam Association (CDA),48.56166667,-81.11888889
Glencore,"Matagami Mine, Central Pond, (Lalanne Dyke)",Canada,Closed,Centreline,High,Canadian Dam Association (CDA),49.74398611,-77.76726944
Glencore,"Matagami Mine, Central Pond, Central Dyke",Canada,Closed,Centreline,Significant,Canadian Dam Association (CDA),49.73611111,-77.76722222
Glencore,"Matagami Mine, West Pond, North Freeboard Dyke",Canada,Closed,Centreline,Significant,Canadian Dam Association (CDA),49.74694444,-77.78194444
Glencore,"Matagami Mine, West Pond, (West Dyke)",Canada,Closed,Centreline,Significant,Canadian Dam Association (CDA),49.74305556,-77.79611111
Glencore,"Matagami Mine, West Pond, North-South Dyke",Canada,Closed,Centreline,Significant,Canadian Dam Association (CDA),49.73944444,-77.78
Glencore,"Matagami Mine,West Pond, East-West Dyke",Canada,Closed,Centreline,Low,Canadian Dam Association (CDA),49.73265556,-77.78966944
Glencore,"Matagami Mine, South Pond, (South Dyke)",Canada,Active,NA,Significant,Canadian Dam Association (CDA),49.71944444,-77.7675
Glencore,"Bolivar Mine, (Queaqueani)",Bolivia,Active,Downstream,Extreme,Canadian Dam Association (CDA),-18.465,-66.87361111
Glencore,"Bolivar Mine, (Antiguo)",Bolivia,Inactive,Upstream,Significant,Canadian Dam Association (CDA),-18.46944444,-66.86222222
Glencore,"Don Diego Mine, (Chilimoco)",Bolivia,Active,Downstream,Extreme,Canadian Dam Association (CDA),-19.51111111,-65.61027778
Glencore,"Don Diego Mine, (Yana Khasa)",Bolivia,Inactive,Upstream,High,Canadian Dam Association (CDA),-19.49611111,-65.59805556
Glencore,"Don Diego Mine, (1, 2 & 3)",Bolivia,Inactive,Upstream,Low,Canadian Dam Association (CDA),-19.5,-65.59972222
Glencore,"Porco Mine, (Dique D)",Bolivia,Active,Downstream,Extreme,Canadian Dam Association (CDA),-19.78277778,-66.00777778
Glencore,"Porco Mine, (Dique C)",Bolivia,Inactive,Upstream,Low,Canadian Dam Association (CDA),-19.78638889,-65.98305556
Glencore,"Porco Mine, (Dique B)",Bolivia,Inactive,Upstream,Significant,Canadian Dam Association (CDA),-19.78638889,-65.98305556
Glencore,"Porco Mine, (Dique A)",Bolivia,Inactive,Upstream,Significant,Canadian Dam Association (CDA),-19.78944444,-65.98277778
Glencore,"Porco Mine, (Dique 1)",Bolivia,Inactive,Upstream,Significant,Canadian Dam Association (CDA),-19.775,-65.97666667
Glencore,"Porco Mine, (Dique 2)",Bolivia,Inactive,Upstream,Significant,Canadian Dam Association (CDA),-19.77414167,-66.978325
Glencore,"Porco Mine, (Dique 3)",Bolivia,Inactive,Upstream,Significant,Canadian Dam Association (CDA),-19.77644167,-65.97636667
Glencore,"Porco Mine, (Dique 4)",Bolivia,Inactive,Upstream,Significant,Canadian Dam Association (CDA),-19.77630833,-66.97373333
Glencore,"Porco Mine, (Dique 5)",Bolivia,Inactive,Upstream,Significant,Canadian Dam Association (CDA),-19.77605,-66.97101389
Glencore,"Aguilar Mine, Cola 7, (South)",Argentina,Active,Downstream,High,Canadian Dam Association (CDA),-23.21055556,-65.60638889
Glencore,"Aguilar Mine, Cola 6, (North)",Argentina,Inactive,Upstream,High,Canadian Dam Association (CDA),-23.20361111,-65.6125
Glencore,"Aguilar Mine, Colas 5, (East)",Argentina,Closed,Upstream,Low,Canadian Dam Association (CDA),-23.19722222,-65.62555556
Glencore,"Aguilar Mine, Colas 4 , (East)",Argentina,Closed,Upstream,Low,Canadian Dam Association (CDA),-23.19216111,-65.6205
Glencore,"Contonga Mine, Tucush TSF, (Dam)",Peru,Active,Centreline,Very high,Canadian Dam Association (CDA),-9.509166667,-77.07111111
Glencore,"Contonga Mine, Pajuscocha TSF, (Pile)",Peru,Closed,Upstream,Low,Canadian Dam Association (CDA),-9.502222222,-77.08194444
Glencore,"Iscaycruz Mine, Tinyag TSF, (North Dike)",Peru,Inactive,Upstream,High,Canadian Dam Association (CDA),-10.78972222,-76.72777778
Glencore,"Iscaycruz Mine, Escondida TSF, (Dam 3)",Peru,Inactive,Centreline,High,Canadian Dam Association (CDA),-10.78361111,-76.72194444
Glencore,"Iscaycruz Mine, Geniococha TSF, (Dam 1)",Peru,Inactive,Downstream,High,Canadian Dam Association (CDA),-10.79083333,-76.71944444
Glencore,"Yauliyacu mine, Chinchán, (Cross Valley Dam)",Peru,Active,Centreline,Extreme,Canadian Dam Association (CDA),-11.59777778,-76.23333333
Glencore,"Yauliyacu mine, Rosaura, (Cross Valley Dam)",Peru,Inactive,Downstream,Extreme,Canadian Dam Association (CDA),-11.67694444,-76.26277778
Glencore,"San Cristobal Mining Unit, Mahr Tunel, (TSF 1-2)",Peru,Inactive,Upstream,Low,Canadian Dam Association (CDA),-11.6275,-76.0525
Glencore,"San Cristobal Mining Unit, Mahr Tunel, (TSF 3)",Peru,Inactive,Upstream,High,Canadian Dam Association (CDA),-11.62583333,-76.05027778
